"Label","#","iri","term_iri","issued","term_localName","DateLastUpdated","prefLabel","IE Class","InformationElement:ActedUpon","InformationElement:Consulted","Parameters","Specification","AuthoritiesDefaults","Description","Criterion Label","Type","Resource Type","Dimension","Criterion","Enhancement","Examples","Source","References","Example Implementations (Mechanisms)","Link to Specification Source Code","Notes","IssueState","IssueLabels","UseCases"
"VALIDATION_COUNTRYCODE_STANDARD","20","https://rs.tdwg.org/bdqcore/terms/version/0493bcfb-652e-4d17-815b-b0cce0742fbe-2024-09-19","https://rs.tdwg.org/bdqcore/terms/0493bcfb-652e-4d17-815b-b0cce0742fbe","2024-09-18","0493bcfb-652e-4d17-815b-b0cce0742fbe","2024-09-19","Validation dwc:countryCode Standard","dcterms:Location","dwc:countryCode",,"","EXTERNAL_PREREQUISITES_NOT_MET if the bdq:sourceAuthority is not available; INTERNAL_PREREQUISITES_NOT_MET if the dwc:countryCode is bdq:Empty; COMPLIANT if dwc:countryCode can be unambiguously interpreted as a valid ISO 3166-1-alpha-2 country code in the bdq:sourceAuthority; otherwise NOT_COMPLIANT","bdq:sourceAuthority default = ""ISO 3166 Country Codes"" {[https://www.iso.org/iso-3166-country-codes.html]} {ISO 3166-1-alpha-2 Country Code search [https://www.iso.org/obp/ui/#search]}","Is the value of dwc:countryCode a valid ISO 3166-1-alpha-2 country code?","Conformance: standard","Validation","SingleRecord","Conformance","Standard",,"[dwc:countryCode=""GL"": Response.status=RUN_HAS_RESULT, Response.result=COMPLIANT, Response.comment=""dwc:countryCode is a valid ISO (ISO 3166-1-alpha-2 country codes) value""],[dwc:countryCode=""GRL"": Response.status=RUN_HAS_RESULT, Response.result=NOT_COMPLIANT, Response.comment=""dwc:countryCode is NOT a valid ISO (ISO 3166-1-alpha-2 country codes) value""]","TG2","<ul><li>ISO (n.dat.) ISO 3166 Country Codes. https://www.iso.org/iso-3166-country-codes.html</li><li>ISO (n.dat) 3166-1 alpha-2. https://en.wikipedia.org/wiki/ISO_3166-1_alpha-2</li><li>DataHub (2018) List of all countries with their two digit codes (ISO 3166-1). https://datahub.io/core/country-list</li><li>Chapman AD and Wieczorek JR (2020) Georeferencing Best Practices. Copenhagen: GBIF Secretariat. https://doi.org/10.15468/doc-gg7h-s853</li></ul>","","","Locations outside of a jurisdiction covered by a country code may have a value in the field dwc:countryCode, the ISO user defined codes include XZ used by the UN for installations on the high seas and suitable for a marker for the high seas.  Also available in the ISO user defined codes is ZZ, used by GBIF to mark unknown countries.  This test should accept both XZ and ZZ as COMPLIANT country codes. This test must return NOT_COMPLIANT if there is leading or trailing whitespace or there are leading or trailing non-printing characters.","open","TG2 Validation SPACE Test VOCABULARY Conformance ISO/DCMI STANDARD CORE","bdq:Spatial-Temporal_Patterns, bdq:Record-Management"
"VALIDATION_COUNTRY_FOUND","21","https://rs.tdwg.org/bdqcore/terms/version/69b2efdc-6269-45a4-aecb-4cb99c2ae134-2024-08-19","https://rs.tdwg.org/bdqcore/terms/69b2efdc-6269-45a4-aecb-4cb99c2ae134","2024-09-24","69b2efdc-6269-45a4-aecb-4cb99c2ae134","2024-08-19","Validation dwc:country Found","dcterms:Location","dwc:country",,"bdq:sourceAuthority","EXTERNAL_PREREQUISITES_NOT_MET if the bdq:sourceAuthority is not available; INTERNAL_PREREQUISITES_NOT_MET if dwc:country is bdq:Empty; COMPLIANT if value of dwc:country is a place type equivalent to administrative entity of ""nation"" in the bdq:sourceAuthority; otherwise NOT_COMPLIANT","bdq:sourceAuthority default = ""The Getty Thesaurus of Geographic Names (TGN)"" {[https://www.getty.edu/research/tools/vocabularies/tgn/index.html]}","Does the value of dwc:country occur in the bdq:sourceAuthority?","Conformance: found","Validation","SingleRecord","Conformance","Found",,"[dwc:country=""Eswatini"": Response.status=RUN_HAS_RESULT, Response.result=COMPLIANT, Response.comment=""dwc:country is a valid country name in the bdq:sourceAuthority""],[dwc:country=""Tasmania"": Response.status=RUN_HAS_RESULT, Response.result=NOT_COMPLIANT, Response.comment=""Tasmania is not found at the level of national in the bdq:sourceAuthority""]","ALA, GBIF","<ul><li>Getty Research Institute (2017) Getty Thesaurus of Geographic Names Online. https://www.getty.edu/research/tools/vocabularies/tgn/index.html</li><li>Chapman AD and Wieczorek JR (2020) Georeferencing Best Practices. Copenhagen: GBIF Secretariat. https://doi.org/10.15468/doc-gg7h-s853</li></ul>","","","Non-country information such as ""high seas"" will fail this test (High Seas should use dwc:countryCode = ""XZ"" and have dwc:country empty).  Getty Place Types for administrative level ""nation""  are 81010 nation, 81011 independent sovereign nation, and 81012 independent nation.  Multiple values in the dwc:country field (whether to signify on a border or in a list of possibilities) will fail this test. Locations outside of a jurisdiction covered by a country code should not have a value in the field dwc:countryCode. This test should find any matches at the Getty ""nation"" level including internationalized names and historical representations of that nation (where boundaries are  same). This test must return NOT_COMPLIANT if there is leading or trailing whitespace or there are leading or trailing non-printing characters.","open","TG2 Validation SPACE Test VOCABULARY Conformance Parameterized CORE","bdq:Spatial-Temporal_Patterns, bdq:Record-Management"
"VALIDATION_PHYLUM_FOUND","22","https://rs.tdwg.org/bdqcore/terms/version/eaad41c5-1d46-4917-a08b-4fd1d7ff5c0f-2022-03-25","https://rs.tdwg.org/bdqcore/terms/eaad41c5-1d46-4917-a08b-4fd1d7ff5c0f","2024-09-05","eaad41c5-1d46-4917-a08b-4fd1d7ff5c0f","2022-03-25","Validation dwc:phylum Found","dwc:Taxon","dwc:phylum",,"bdq:sourceAuthority","EXTERNAL_PREREQUISITES_NOT_MET if the bdq:sourceAuthority is not available; INTERNAL_PREREQUISITES_NOT_MET if dwc:phylum is bdq:Empty; COMPLIANT if the value of dwc:phylum is found as a value at the rank of Phylum in the bdq:sourceAuthority; otherwise NOT_COMPLIANT","bdq:sourceAuthority default = ""GBIF Backbone Taxonomy"" {[https://doi.org/10.15468/39omei]} {API endpoint [https://api.gbif.org/v1/species?datasetKey=d7dddbf4-2cf0-4f39-9b2a-bb099caae36c&name=]}","Does the value of dwc:phylum occur at rank of Phylum in the bdq:sourceAuthority?","Conformance: found","Validation","SingleRecord","Conformance","Found",,"[dwc:phylum=""Tracheophyta"": Response.status=RUN_HAS_RESULT, Response.result=COMPLIANT, Response.comment=""dwc:phylum has an equivalent at the rank of Phylum in the bdq:sourceAuthority. GBIF.org uses Trachyophyta for the Phylum including ferns""],[dwc:phylum=""Trachyophyta"": Response.status=RUN_HAS_RESULT, Response.result=NOT_COMPLIANT, Response.comment=""dwc:phylum does not have an equivalent at the rank of Phylum in the bdq:sourceAuthority.""]","iDigBio","<ul><li>GBIF Secretariat (2023) GBIF Backbone Taxonomy. Checklist dataset. https://doi.org/10.15468/39omei</li></ul>","","","The purpose of this test is to check whether the value is a name that is a result of a nomenclatural act at this rank. This excludes unpublished names, misspellings and vernacular names. It is expected that the test will designate the source authority against to check. The same test might return distinct results when using distinct source authorities.","open","TG2 Validation NAME Test VOCABULARY Conformance Parameterized CORE","bdq:Record-Management, bdq:Taxon-Management"
"VALIDATION_MINDEPTH_LESSTHAN_MAXDEPTH","24","https://rs.tdwg.org/bdqcore/terms/version/8f1e6e58-544b-4365-a569-fb781341644e-2023-09-18","https://rs.tdwg.org/bdqcore/terms/8f1e6e58-544b-4365-a569-fb781341644e","2024-09-04","8f1e6e58-544b-4365-a569-fb781341644e","2023-09-18","Validation  dwc:minimumDepthInMeters Less Than dwc:maximumDepthInMeters","dcterms:Location","dwc:minimumDepthInMeters,dwc:maximumDepthInMeters",,"","INTERNAL_PREREQUISITES_NOT_MET if dwc:minimumDepthInMeters or dwc:maximumDepthInMeters is bdq:Empty, or if either are interpretable as not zero or a positive number; COMPLIANT if the value of dwc:minimumDepthInMeters is less than or equal to the value of dwc:maximumDepthInMeters; otherwise NOT_COMPLIANT","","Is the value of dwc:minimumDepthInMeters a number that is less than or equal to the value of dwc:maximumDepthInMeters?","Conformance: maxdepth","Validation","SingleRecord","Conformance","Consistent",,"[dwc:minimumDepthInMeters=""0"", dwc:maximumDepthInMeters=""0"": Response.status=RUN_HAS_RESULT, Response.result=COMPLIANT, Response.comment=""dwc:minimumDepthInMeters = dwc:maximumDepthInMeters""],[dwc:minimumDepthInMeters=""1"", dwc:maximumDepthInMeters=""0"": Response.status=RUN_HAS_RESULT, Response.result=NOT_COMPLIANT, Response.comment=""dwc:minimumDepthInMeters > dwc:maximumDepthInMeters""]","ALA, GBIF, OBIS","<ul><li>Chapman AD and Wieczorek JR (2020) Georeferencing Best Practices. Copenhagen: GBIF Secretariat. https://doi.org/10.15468/doc-gg7h-s853</li></ul>","","","","open","TG2 Validation SPACE Test Conformance CORE","bdq:Spatial-Temporal_Patterns, bdq:Record-Management"
"AMENDMENT_DATEIDENTIFIED_STANDARDIZED","26","https://rs.tdwg.org/bdqcore/terms/version/39bb2280-1215-447b-9221-fd13bc990641-2024-09-16","https://rs.tdwg.org/bdqcore/terms/39bb2280-1215-447b-9221-fd13bc990641","2024-09-16","39bb2280-1215-447b-9221-fd13bc990641","2024-09-16","Amendment dwc:dateIdentified Standard","dwc:Identification","dwc:dateIdentified",,"","INTERNAL_PREREQUISITES_NOT_MET if dwc:dateIdentified is bdq:Empty; AMENDED if the value of dwc:dateIdentified is not a properly formatted ISO 8601 date but is unambiguous and altered to be a valid ISO 8601 date; otherwise NOT_AMENDED.","","Proposes an amendment to the value of dwc:dateIdentified to a valid ISO date.","Conformance: standardized","Amendment","SingleRecord","Conformance",,"Standardized","[dwc:dateIdentified=""2021-28-10"": Response.status=AMENDED, Response.result=dwc:dateIdentified=""2021-10-28"", Response.comment=""dwc:dateIdentified assuming dwc:year, dwc:day and dwc:month""],[dwc:dateIdentified=""21-10-28"": Response.status=NOT_AMENDED, Response.result=, Response.comment=""dwc:dateIdentified contains ambiguous values. It could be dd-mm-yy or yy-mm-dd""]","Kurator","<ul><li>ISO (2019) ISO 8601-1:2019(en) Date and time — Representations for information interchange — Part 1: Basic rules. https://www.iso.org/obp/ui/</li><li>Wikipedia (2020) ISO 8601. https://en.wikipedia.org/wiki/ISO_8601</li><li>Library of Congress (2019) Extended Date/Time Format (EDTF). https://www.loc.gov/standards/datetime/</li></ul>","Kurator:event_date_qc","https://github.com/FilteredPush/event_date_qc/blob/1abbd3f02eb6c28129764defab78f72156972864/src/main/java/org/filteredpush/qc/date/DwCEventDQ.java#L489","We reference Wikipedia for the ISO standard because the standard documents are not free.","open","TG2 Amendment TIME Test Conformance ISO/DCMI STANDARD CORE","bdq:Spatial-Temporal_Patterns, bdq:Record-Management, bdq:Taxon-Management"
"VALIDATION_FAMILY_FOUND","28","https://rs.tdwg.org/bdqcore/terms/version/3667556d-d8f5-454c-922b-af8af38f613c-2023-09-17","https://rs.tdwg.org/bdqcore/terms/3667556d-d8f5-454c-922b-af8af38f613c","2024-09-17","3667556d-d8f5-454c-922b-af8af38f613c","2023-09-17","Validation dwc:family Found","dwc:Taxon","dwc:family",,"bdq:sourceAuthority","EXTERNAL_PREREQUISITES_NOT_MET if the bdq:sourceAuthority is not available; INTERNAL_PREREQUISITES_NOT_MET if dwc:family is bdq:Empty; COMPLIANT if the value of dwc:family is found as a value at the rank of Family in the bdq:sourceAuthority; otherwise NOT_COMPLIANT","bdq:sourceAuthority default = ""GBIF Backbone Taxonomy"" {[https://doi.org/10.15468/39omei]} {API endpoint [https://api.gbif.org/v1/species?datasetKey=d7dddbf4-2cf0-4f39-9b2a-bb099caae36c&name=]}","Does the value of dwc:family occur at rank of Family in the bdq:sourceAuthority?","Conformance: found","Validation","SingleRecord","Conformance","Found",,"[dwc:family=""Agaricaceae"": Response.status=RUN_HAS_RESULT, Response.result=COMPLIANT, Response.comment=""bdq:family has an equivalent at the rank of Family in the bdq:sourceAuthority""],[dwc:family=""Agaricacae"": Response.status=RUN_HAS_RESULT, Response.result=NOT_COMPLIANT, Response.comment=""bdq:family does not have an equivalent at the rank of Family in the Parameterized Source Authority""]","iDigBio","<ul><li>GBIF Secretariat (2023) GBIF Backbone Taxonomy. Checklist dataset. https://doi.org/10.15468/39omei</li></ul>","","","The purpose of this test is to check whether the value is a name that is a result of a nomenclatural act at this rank. This excludes unpublished names, misspellings and vernacular names. It is expected that the test will designate the source authority against to check. The same test might return distinct results when using distinct source authorities.","open","TG2 Validation NAME Test VOCABULARY Conformance Parameterized CORE","bdq:Record-Management, bdq:Taxon-Management"
"ISSUE_ANNOTATION_NOTEMPTY","29","https://rs.tdwg.org/bdqcore/terms/version/fecaa8a3-bbd8-4c5a-a424-13c37c4bb7b1-2023-09-18","https://rs.tdwg.org/bdqcore/terms/fecaa8a3-bbd8-4c5a-a424-13c37c4bb7b1","2024-09-17","fecaa8a3-bbd8-4c5a-a424-13c37c4bb7b1","2023-09-18","Issue Annotation Not Empty","oa:target",,"AllDarwinCoreTerms","bdq:annotationSystem,bdq:annotationAlertIf","EXTERNAL_PREREQUISITES_NOT_MET if the bdq:annotationSystem is not available; POTENTIAL_ISSUE if an annotation in the bdq:annotationSystem exists with a matching bdq:annotationAlertIf; otherwise NOT_ISSUE.","bdq:annotationSystem default = ""W3C Web Annotation"" {[https://www.w3.org/annotation/]} {""oa:Annotation vocabulary"" {[https://www.w3.org/TR/annotation-vocab/]},bdq:annotationAlertIf default = ""oa:Annotation with oa:hasTarget having as object any dwciri:term instance that is part of the SingleRecord under test."" {[https://www.w3.org/TR/annotation-vocab/]}","Are there any annotations associated with the record?","Reliability: notempty","Issue","SingleRecord","Reliability","NotEmpty",,"[bdq:annotationAlertIf="""": Response.status=RUN_HAS_RESULT, Response.result=NOT_ISSUE, Response.comment=""bdq:annotationAlertIf is bdq:Empty""],[bdq:annotationAlertIf=""?"": Response.status=RUN_HAS_RESULT, Response.result=POTENTIAL_ISSUE, Response.comment=""bdq:annotationAlertIf is bdq:NotEmpty""]","ALA, Lee Belbin","<ul><li>W3C (2017) Web Annotation Data Model. https://www.w3.org/TR/annotation-model/</li><li>W3C (2017) Web Annotation Data Model: Annotation. https://www.w3.org/TR/annotation-vocab/#annotation</li><li>Biodiversity Information Standards (TDWG) (n.dat) Annotations Interest Group. https://www.tdwg.org/community/annotations/</li></ul>","","","While there is a W3C standard on 'web annotation', there is no TDWG recommendation on how this standard could be applied to annotating Darwin Core records.  While implementation of this test is currently problematic, TG2 considers annotations attached to any aspect of a Darwin Core record justifies this test as a placeholder in the hope of future developments.","open","TG2 Issue OTHER Test CORE","bdq:Taxon-Management, bdq:Alien-Species, bdq:Record-Management, bdq:Biotic-Relationships"
"VALIDATION_DECIMALLONGITUDE_INRANGE","30","https://rs.tdwg.org/bdqcore/terms/version/0949110d-c06b-450e-9649-7c1374d940d1-2023-09-17","https://rs.tdwg.org/bdqcore/terms/0949110d-c06b-450e-9649-7c1374d940d1","2024-09-04","0949110d-c06b-450e-9649-7c1374d940d1","2023-09-17","Validation dwc:decimalLongitude In Range","dcterms:Location","dwc:decimalLongitude",,"","INTERNAL_PREREQUISITES_NOT_MET if dwc:decimalLongitude is bdq:Empty or the value is not a number; COMPLIANT if the value of dwc:decimalLongitude is between -180 and 180 degrees, inclusive; otherwise NOT_COMPLIANT","","Is the value of dwc:decimalLongitude a number between -180 and 180 inclusive?","Conformance: inrange","Validation","SingleRecord","Conformance","InRange",,"[dwc:decimalLongitude=""0"": Response.status=RUN_HAS_RESULT, Response.result=COMPLIANT, Response.comment=""dwc:decimalLongitude is in range""],[dwc:decimalLongitude=""181.0554"": Response.status=RUN_HAS_RESULT, Response.result=NOT_COMPLIANT, Response.comment=""dwc:decimalLongitude >180""]","ALA, GBIF, OBIS","<ul><li>Chapman AD and Wieczorek JR (2020) Georeferencing Best Practices. Copenhagen: GBIF Secretariat. https://doi.org/10.15468/doc-gg7h-s853</li></ul>","","","","open","TG2 Validation SPACE Test Conformance CORE","bdq:Taxon-Management, bdq:Alien-Species, bdq:Spatial-Temporal_Patterns, bdq:Record-Management, bdq:Biotic-Relationships"
"MEASURE_VALIDATIONTESTS_NOTCOMPLIANT","31","https://rs.tdwg.org/bdqcore/terms/version/453844ae-9df4-439f-8e24-c52498eca84a-2024-08-22","https://rs.tdwg.org/bdqcore/terms/453844ae-9df4-439f-8e24-c52498eca84a","2024-09-24","453844ae-9df4-439f-8e24-c52498eca84a","2024-08-22","Measure Validation Tests Not Compliant","bdq:Validation",,"bdq:AllValidationTestsRunOnSingleRecord","","INTERNAL_PREREQUISITES_NOT_MET if no tests of type VALIDATION were attempted to be run; REPORT of the number of tests of output type VALIDATION run against the record that have Response.result=""NOT_COMPLIANT""","","A count of the number of distinct VALIDATION tests that have a Response.status=""NOT_COMPLIANT"" for a given record.","Reliability: notcompliant","Measure","SingleRecord","Reliability",,,"[Response.status=RUN_HAS_RESULT, Response.result=""37"", Response.comment=""37 VALIDATION tests had Response.status=""NOT_COMPLIANT.""]","Lee Belbin","","","","We have three individual measures for pass (MEASURE_VALIDATIONTESTS_COMPLIANT (45fb49eb-4a1b-4b49-876f-15d5034dfc73)), fail (MEASURE_VALIDATIONTESTS_NOTCOMPLIANT (453844ae-9df4-439f-8e24-c52498eca84a)), and PREREQUISITES_NOT_MET (49a94636-a562-4e6b-803c-665c80628a3d). To get the total number of tests that were attempted, add all three measures. To get the total number of tests that ran, add NOT_COMPLIANT (fail) and COMPLIANT (pass).","open","TG2 Measure NAME SPACE TIME OTHER Test CORE","bdq:Spatial-Temporal_Patterns, bdq:Record-Management, bdq:Taxon-Management"
"AMENDMENT_COORDINATES_FROM_VERBATIM","32","https://rs.tdwg.org/bdqcore/terms/version/3c2590c7-af8a-4eb4-af57-5f73ba9d1f8e-2024-08-20","https://rs.tdwg.org/bdqcore/terms/3c2590c7-af8a-4eb4-af57-5f73ba9d1f8e","2024-09-04","3c2590c7-af8a-4eb4-af57-5f73ba9d1f8e","2024-08-20","Amendment Coordinates From Verbatim","dcterms:Location","dwc:decimalLatitude,dwc:decimalLongitude,dwc:geodeticDatum","dwc:verbatimCoordinates,dwc:verbatimLatitude,dwc:verbatimLongitude,dwc:verbatimCoordinateSystem,dwc:verbatimSRS","","INTERNAL_PREREQUISITES_NOT_MET if 1) either dwc:decimalLatitude or dwc:decimalLongitude are bdq:NotEmpty, or 2) dwc:verbatimCoordinates and one of dwc:verbatimLatitude and dwc:verbatimLongitude are bdq:Empty; FILLED_IN the values of dwc:decimalLatitude, dwc:decimalLongitude and dwc:geodeticDatum (provided that the dwc:verbatimCoordinates can be unambiguously interpreted as geographic coordinates) from 1) dwc:verbatimLatitude, dwc:verbatimLongitude and dwc:verbatimSRS or 2) dwc:verbatimCoordinates and dwc:verbatimSRS; otherwise NOT_AMENDED.","","Proposes an amendment to the values of dwc:decimalLatitude, dwc:decimalLongitude, and dwc:geodeticDatum from geographic coordinate information in the verbatim coordinates terms.","Completeness: verbatim","Amendment","SingleRecord","Completeness",,"FillInFrom","[dwc:verbatimLatitude=""-23.712"", dwc:verbatimLongitude=""139.92"", dwc:verbatimCoordinates="""", dwc:verbatimSRS=""EPSG:4326"", dwc:verbatimCoordinateSystem=""decimal degrees"",  dwc:decimalLatitude="""", dwc:decimalLongitude="""": Response.status=FILLED_IN, Response.result=dwc:decimalLatitude=""-23.712"", dwc:decimalLongitude=""139.92"", dwc:geodeticDatum=""EPSG:4326"", Response.comment=""Input fields contain interpretable values""],[dwc:verbatimLatitude="""", dwc:verbatimLongitude="""", dwc:verbatimCoordinates=""54K 0390210 7377243"", dwc:verbatimSRS=""EPSG:32754"", dwc:verbatimCoordinateSystem=""decimal degrees"", dwc:decimalLatitude="""", dwc:decimalLongitude="""":: Response.status=NOT_AMENDED, Response.result="""", Response.comment=""In the wrong coordinate system""]","ALA","<ul><li>Chapman AD and Wieczorek, JR (2020) Georeferencing Best Practices. Copenhagen: GBIF Secretariat. https://doi.org/10.15468/doc-gg7h-s853</li></ul>","","","Transformations between coordinate reference systems should not be made as a part of this test. Though coordinate precision of the verbatim coordinates could also be interpreted during the process of amending decimal coordinates from verbatim coordinates, that amendment is recommended to be an independent test. Note that dwc:verbatimLatitude, dwc:verbatimLongitude and dwc:verbatimCoordinates might all be populated, and they may or not be perfectly consistent with each other. An ideal implementation should check for the consistency of these three fields and not amend them if they are inconsistent.","open","TG2 Amendment SPACE Test Completeness CORE","bdq:Spatial-Temporal_Patterns, bdq:Record-Management"
